Designator,Quantity,LCSC Part #,Description,Comment,LibRef,Footprint

"A1","1","","","ESP32-WROOM-32D","ESP32-WROOM-32D","ESP32-WROOM-32D"
"BR1","1","","Bridge Rectifier 100V 0.8A MiniDIP SMD4","DB 100V 0A8","DB 100V 0A8","miniDIP 4"
"C1","1","","CAP CER 0.1UF 16V X7R 0603","100n 16V","CAP 100n 16V 0603","CAP 0603 MD"
"C2","1","","SAMSUNG ELECTRO-MECHANICS - CL21A106KOQNNNE - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 10%, X5R, CL Series","10u 16V","CAP 10u 16V 0805","CAP 0805 LD"
"C3","1","","SAMSUNG ELECTRO-MECHANICS - CL10B105KA8NNNC - SMD Multilayer Ceramic Capacitor, 1 µF, 25 V, 0603 [1608 Metric], ± 10%, X7R, CL Series","1u 25V","CAP 1u 25V 0603","CAP 0603 MD"
"C4","1","","","100u 50V","CAP-EL 100u 50V","ELECTROLYTIC CAP D8 Lifted"
"C5","1","C466608","10nF ±10% 50V X7R 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","10n 50V","CAP 10n 0402","CAP0402X07"
"C6","1","","CAP CER 0.1UF 16V X7R 0603","100n 16V","CAP 100n 16V 0603","CAP 0603 HD"
"C7","1","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1500pF X7R 0603 10% Tol","1n5 50V","CAP 1n5 50V 0603","CAP 0603 HD"
"C8","1","","","220u 16V","CAP-EL 220u 16V","ELECTROLYTIC CAP D6.3 Lifted"
"D1","1","","DIODE SCHOTTKY 50V 1A SMAE","DS -50V 700mV 1A","DS -50V 700mV 1A","DO-214AC"
"D2, D3","2","","DIODE FS 100V 150MA SOT363","D -75V A150 x3","D -75V A150 x3","SOT-363"
"K1, K2, K3, K4, K5","5","","OPTOISOLATOR 3.75KV TRIAC 6SO 4L","TLP266J","TLP266J","11-4M1S MD"
"L1","1","","FIXED IND 150UH 610MA 949 MOHM","150u A560 R949","IND 150u 560mA","IND 5050X45 MD"
"P1","1","","Header, 3-Pin","Header 3","Header 3","HDR1X3"
"P2, P3","2","","Header, 2-Pin","Header 2","Header 2","HDR1X2"
"R1, R2","2","","PANASONIC - ERJ-3EKF1002V. - THICK FILM CHIP RES, 0603, 1%, PRECISION","10k 1% 0W1","RES 10k 0603 1% 0W1","RES 0603 MD"
"R3","1","","SUSUMU         RL1220S-R50-F             SMD Current Sense Resistor, 0.5 ohm, 0805 [2012 Metric], 250 mW,  1%, RL Series","0R5 1% 0W33","RES 0R5 0805 1% 0W33","RES 0805 HD"
"R4","1","","RES SMD 36K OHM 0.5% 1/16W 0603","36k 0.5 52m5","RES 36k 0603 0%5 62m5","RES 0603 HD"
"R5","1","","Res Thick Film 0603 22K Ohm 1% 1/10W 100ppm/C Molded SMD SMD Paper T/R","22k 1% 0W1","RES 22k 0603 1% 0W1","RES 0603 HD"
"R6","1","","TE CONNECTIVITY - CRGCQ0603F12K - SMD Chip Resistor, 0603 [1608 Metric], 12 kohm, CRGCQ Series, 75 V, Thick Film, 100 mW","12k 1% 0W1","RES 12k 0603 1% 0W1","RES 0603 HD"
"R7, R8, R9, R10, R11","5","","TE CONNECTIVITY - CRGCQ0603F56R - SMD Chip Resistor, 0603 [1608 Metric], 56 ohm, CRGCQ Series, 75 V, Thick Film, 100 mW","56 1% 0W1","RES 56 0603 1% 0W1","RES 0603 HD"
"R12, R13, R14, R18, R19","5","","RES 100K OHM 1% 1/10W 0603","100k 1% 0W1","RES 100k 0603 1% 0W1","RES 0603 HD"
"R15, R16, R17, R20, R21","5","","PANASONIC - ERJ-3EKF1002V. - THICK FILM CHIP RES, 0603, 1%, PRECISION","10k 1% 0W1","RES 10k 0603 1% 0W1","RES 0603 HD"
"U1, U3, U4","3","","TEXAS INSTRUMENTS - SN74LVC126APWR - NON INVERTING BUS BUFFER GATE TSSOP14","SN74LVC126APWR","SN74LVC126APWR","TSSOP-14 MD"
"U2","1","","ON SEMICONDUCTOR         NCP3064BDR2G             DC-DC Switching Buck, Boost, Inverting Regulator, Adj., 3V-40Vin, 1.25V-40V/1.5A out, 150kHz, SOIC-8","NCP3064BDR2G","NCP3064BDR2G","soic-8 md"
